Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ch1_s1_2b21acd6	"Customer Man"	Dobrava, tell us a story about a hero!	game/story scripts/ch1.1-5.rpy	3	"Customer Man" "[what]"
ch1_s1_fc3abf24		I look at the crowd gathered around me. As any other bard, I enjoy the attention. And I have many stories to tell, oh I do.	game/story scripts/ch1.1-5.rpy	5	"[what]"
ch1_s1_058861c8		A hero they say? They probably expect a story about someone who slew a dragon or any other monsters.	game/story scripts/ch1.1-5.rpy	6	"[what]"
ch1_s1_4c1f4068		But what about someone who saved a Princess because he was a good man who had made friends?	game/story scripts/ch1.1-5.rpy	7	"[what]"
ch1_s1_aeba81ee		Let's see if they like it as much as I do.	game/story scripts/ch1.1-5.rpy	8	"[what]"
ch1_s1_149e8b54	d	The Shoemaker Dratevka was a poor man, who travelled around Ostoya and fixed people's shoes and helped everyone in need.	game/story scripts/ch1.1-5.rpy	10	d "[what]"
ch1_s1_a4e3c06d	d	Once, Dratevka came across an ant hill destroyed by a bear. He fixed it and the ants thanked him.	game/story scripts/ch1.1-5.rpy	12	d "[what]"
ch1_s1_f2c59312	d	Another time, he found a destroyed beehive and helped the bees fix it.	game/story scripts/ch1.1-5.rpy	13	d "[what]"
ch1_s1_bf3a9fb3	d	Yet another time, he encountered ducks who were hungry and fed them some bread. The ducks thanked him.	game/story scripts/ch1.1-5.rpy	14	d "[what]"
ch1_s1_04c882ff		I pause and play a happy tune on the flute to make the show even better. The people look at me with happy faces.	game/story scripts/ch1.1-5.rpy	17	"[what]"
ch1_s1_cb1b3ad6		There is a group of adventurers at one of the tables. They stop talking and look at me expectantly.	game/story scripts/ch1.1-5.rpy	18	"[what]"
ch1_s1_8284af8f	d	One day he came across a tower in the woods. In it, a Princess was imprisoned by an evil Witch.	game/story scripts/ch1.1-5.rpy	20	d "[what]"
ch1_s1_4c05b8c9	d	The Witch told Dratevka she would release the Princess if he completes two tasks for her and solves a riddle.	game/story scripts/ch1.1-5.rpy	21	d "[what]"
ch1_s1_08fe36fb		I pause again to play something dramatic.	game/story scripts/ch1.1-5.rpy	24	"[what]"
ch1_s1_3dd41014	d	And so, Dratevka was tasked with picking poppy seeds out of a sack of sand by the morning.	game/story scripts/ch1.1-5.rpy	25	d "[what]"
ch1_s1_5bdd7bf9		Another pause and another tune on the flute.	game/story scripts/ch1.1-5.rpy	28	"[what]"
ch1_s1_3fdc9429	"Customer Child"	Oh, no!	game/story scripts/ch1.1-5.rpy	29	"Customer Child" "[what]"
ch1_s1_ebbb74a4	d	He felt desperate. How was he supposed to complete such a task in such a short period of time?	game/story scripts/ch1.1-5.rpy	31	d "[what]"
ch1_s1_5cb1c75c	d	Then his friends came to the rescue - the ants!	game/story scripts/ch1.1-5.rpy	33	d "[what]"
ch1_s1_68a75a81	d	They completed the task for him and when the Witch came to see the result in the morning, everything was sorted in neat piles.	game/story scripts/ch1.1-5.rpy	34	d "[what]"
ch1_s1_bc76e383		I play a victorious tune and the crowd cheers. The adventurers get up from their seats and come to watch closer.	game/story scripts/ch1.1-5.rpy	37	"[what]"
ch1_s1_4755d3a7		There are two men, both very handsome, and a beautiful woman. I try not to be distracted.	game/story scripts/ch1.1-5.rpy	38	"[what]"
ch1_s1_dfe98bf5		I am working, gods damn it, don't flash your stupid gorgeous faces in front of me!	game/story scripts/ch1.1-5.rpy	40	"[what]"
ch1_s1_93ec5ebf	d	The Witch then tasked Dratevka to find a golden key in the lake. How was he supposed to find a small key at the bottom of a giant pool of water?	game/story scripts/ch1.1-5.rpy	42	d "[what]"
ch1_s1_d3eacb99	d	But his friends, the ducks, came to help!	game/story scripts/ch1.1-5.rpy	44	d "[what]"
ch1_s1_cdc842eb	"Customer Child"	Awesome!	game/story scripts/ch1.1-5.rpy	45	"Customer Child" "[what]"
ch1_s1_aaae3b9f	d	And so only the last test stood before Dratevka - the riddle. The Witch led him to a room, where nine maidens sat. All of them wore the same clothes and their faces were hidden under veils.	game/story scripts/ch1.1-5.rpy	47	d "[what]"
ch1_s1_676dd295	d	The Witch told him "Now find your Princess!" and cackled.	game/story scripts/ch1.1-5.rpy	48	d "[what]"
ch1_s1_46d7e5d4		I make another dramatic pause to play my flute. The crowd is focused on me. I enjoy their attention.	game/story scripts/ch1.1-5.rpy	51	"[what]"
ch1_s1_6d4fee14	"Customer Man"	Oh no! How will he be able to do that? He can't tell them apart!	game/story scripts/ch1.1-5.rpy	52	"Customer Man" "[what]"
ch1_s1_033f3ad0	d	And again, Dratevka's friends, the bees, came to the rescue. They flew through the window and circled the head of one of the maidens. Trusting his friends, Dratevka chose her.	game/story scripts/ch1.1-5.rpy	54	d "[what]"
ch1_s1_20c86f5f	d	The Witch, defeated, transformed into a bird and flew away. And the Princess, grateful to be saved, embraced Dratevka.	game/story scripts/ch1.1-5.rpy	55	d "[what]"
ch1_s1_6d5ac11e	d	Then they married and lived happily ever after in the witch's castle.	game/story scripts/ch1.1-5.rpy	56	d "[what]"
ch1_s1_e9ce1fe6		I end my story with a victorious tune. I really love this one and the crowd does too. I wish I had friends like Dratevka. Trust and camaraderie is invaluable.	game/story scripts/ch1.1-5.rpy	59	"[what]"
ch1_s1_d2db9f9f		The crowd claps and cheers. Money gets thrown on the coat I had spread under my feet.	game/story scripts/ch1.1-5.rpy	60	"[what]"
ch1_s1_7fe5fc63	"Customer Man"	Tell us another story, Dobrava!	game/story scripts/ch1.1-5.rpy	61	"Customer Man" "[what]"
ch1_s1_89355646	"Customer Child"	Yes, one more! One more!	game/story scripts/ch1.1-5.rpy	62	"Customer Child" "[what]"
ch1_s1_6b2f1525	d	I'm very sorry, but I need to take a break now. All this storytelling and playing got me hungry.	game/story scripts/ch1.1-5.rpy	63	d "[what]"
ch1_s1_6d93118f	"Innkeeper Marysia"	I'll get some food ready for you.	game/story scripts/ch1.1-5.rpy	64	"Innkeeper Marysia" "[what]"
ch1_s1_46e58b41		Marysia the innkeeper feeds me for free. After all, thanks to me, customers come to the tavern and stay here longer. There is no one in Ostoya who does not like a good song and story.	game/story scripts/ch1.1-5.rpy	65	"[what]"
ch1_s1_294bbac0		And I'm the very best at what I do.	game/story scripts/ch1.1-5.rpy	66	"[what]"
ch1_s1_420a3e5e	"Customer Child"	Oh nooo! I want to hear another story!	game/story scripts/ch1.1-5.rpy	67	"Customer Child" "[what]"
ch1_s1_6a7a006f	"Customer Man"	Later, my son. Let the bard rest. It's well-deserved after such a beautiful performance.	game/story scripts/ch1.1-5.rpy	68	"Customer Man" "[what]"
ch1_s2_94f9a79e		The crowd disperses, returning to their now cold meals. I look down at my flute and start to clean it.	game/story scripts/ch1.1-5.rpy	74	"[what]"
ch1_s2_9a61e253	"???"	Bard... your name is Dobrava, right?	game/story scripts/ch1.1-5.rpy	75	"???" "[what]"
ch1_s2_a67931d4		I look up again, surprised. The pretty adventurers are still gathered around me.	game/story scripts/ch1.1-5.rpy	82	"[what]"
ch1_s2_46afb804	d	...! Yes, that's right. I'm Dobrava.	game/story scripts/ch1.1-5.rpy	83	d "[what]"
ch1_s2_d01dbceb		There's a handsome half-elven man with two daggers at his hips. Must be some kind of rogue.	game/story scripts/ch1.1-5.rpy	86	"[what]"
ch1_s2_4a1b3ea8		Another beautiful man, this one a human in full armor, stands to his left. Some sort of fighter, probably.	game/story scripts/ch1.1-5.rpy	89	"[what]"
ch1_s2_6bb518bc		And a gorgeous elven lady with a stern expression stands slightly behind them. A pointy, wide-brimmed hat gives her away as some sort of mage.	game/story scripts/ch1.1-5.rpy	92	"[what]"
ch1_s2_d1ae8949		Ohhh quit staring, Dobrava. So what if you suddenly got approached by so many pretty faces? And bodies? You're not too shabby-looking yourself, after all...	game/story scripts/ch1.1-5.rpy	95	"[what]"
ch1_s2_0a24aada	d	How can I help you, handsome?	game/story scripts/ch1.1-5.rpy	97	d "[what]"
ch1_s2_4248584c		Yes, let's approach this in the usual manner!	game/story scripts/ch1.1-5.rpy	98	"[what]"
ch1_s2_21499cde	z	...Ha, I see you are a lady made of the same clay as I am. My name is Zygmunt.	game/story scripts/ch1.1-5.rpy	100	z "[what]"
ch1_s2_48a834ae	d	Not a lady, but nice to meet you too.	game/story scripts/ch1.1-5.rpy	105	d "[what]"
ch1_s2_a237c260	z	Ah, I meant no offence.	game/story scripts/ch1.1-5.rpy	106	z "[what]"
ch1_s2_f670f7e2	d	I know. Thus none was taken.	game/story scripts/ch1.1-5.rpy	107	d "[what]"
ch1_s2_7ce9124f	d	I appreciate you recognizing me as a lady.	game/story scripts/ch1.1-5.rpy	111	d "[what]"
ch1_s2_63a4b075	"Innkeeper Marysia"	You were not much of a lady that one time when you...	game/story scripts/ch1.1-5.rpy	112	"Innkeeper Marysia" "[what]"
ch1_s2_6340a1b2	d	Quiet, Marysia! I told you not to speak about it! Especially not in front of strangers...	game/story scripts/ch1.1-5.rpy	114	d "[what]"
ch1_s2_e6fe4900		Zygmunt laughs openly at that and the other man chuckles too. The elven woman looks like she does not want to be part of this conversation, cringing visibly.	game/story scripts/ch1.1-5.rpy	117	"[what]"
